,SMILES,CID,MW,LogP,MR,TPSA,NumAromaticRings,FractionCSP3,NumValenceElectron,MaxCharge,MinCharge,BertzCT,BalabanJ,LabuteASA
68,c1ccc(cc1)C1=CC(=O)C(=CC1=O)c1ccccc1,70055,260.292,3.3054000000000014,78.85200000000003,34.14,2,0.0,96,0.18683414033965073,-0.2892381698015612,657.0282437766771,1.995970146915765,116.61615699413046
69,CC(=O)NC1=C(C(=O)c2ccccc2C1=O)Cl,72754,249.653,1.6521000000000001,61.79870000000002,63.24,1,0.08333333333333333,86,0.22089336035033386,-0.3216755722669917,574.8684027411979,2.5776377039768805,102.26331633078414
70,c1cc2c(-c3c(cccn3)C(=O)C2=O)nc1,72810,210.19199999999995,1.5225999999999997,56.12900000000001,59.92,2,0.0,76,0.23535969613708493,-0.28478231057739056,564.4207548553663,2.4147756456837746,90.97489056280553
71,c1ccc2c(c1)C(=O)C=C(C2=O)N,72909,173.17099999999996,0.9081999999999999,47.373400000000004,60.16,1,0.0,64,0.20900724923282626,-0.3954368786949032,432.3058156581231,2.690389534648588,74.85867228847015
72,C1(=C(C(=O)C(=O)C(=C1Cl)Cl)Cl)Cl,73252,245.876,2.5166,47.478,34.14,0,0.0,64,0.24692125025542,-0.2837625172741999,290.23796726047647,3.3698210817876557,87.71503348952905
73,CC(=O)OC1=CC(=O)c2ccccc2C1=O,74513,216.192,1.5126,54.95200000000002,60.440000000000005,1,0.08333333333333333,80,0.307662356554191,-0.42235720403340454,525.5752274315124,2.4698520320181165,91.52373314980132
74,c1ccc2c(c1)C(=O)C=C(C2=O)Br,74944,237.05199999999996,2.3444000000000003,52.11300000000001,34.14,1,0.0,64,0.2003434554314518,-0.2892183445832666,432.3058156581231,2.690389534648588,83.3863291970988
75,CC1=CC(=O)C(=CC1=O)N(CCCl)CCCl,75093,262.13599999999997,1.748,64.86700000000002,37.38,0,0.45454545454545453,88,0.2018979755191861,-0.3658813701286804,354.99606338113733,2.885858832426829,104.69304527795211
76,C1(=C(C(=O)C(=O)C(=C1Br)Br)Br)Br,75521,423.67999999999995,3.141,59.773999999999994,34.14,0,0.0,64,0.24174108505423636,-0.2842035434922003,290.23796726047647,3.3698210817876557,101.9721590045678
77,c1c(c2c(c(c1O)O)C(=O)C(=O)C=C2O)O,75583,222.15199999999996,0.4677000000000003,51.37970000000001,115.06,1,0.0,82,0.23728316595739868,-0.5070139268316836,554.9179489841838,2.8976168104388984,88.6957166002415
78,c1ccc2cc3c(cc2c1)C(=O)c1cc2ccccc2cc1C3=O,76415,308.336,4.768400000000002,94.76100000000005,34.14,4,0.0,112,0.19405820209620847,-0.2885619900798893,1000.9106278942959,1.8445915361196457,137.89892366438295
79,COC1=C(C(=O)C=CC1=O)OC,76565,168.14799999999997,0.19879999999999987,40.198000000000015,52.60000000000001,0,0.25,64,0.22406801814030897,-0.4895067169371832,257.432985745165,3.1081688896812736,69.45894326980935
